True_Oxygen,Pred_Oxygen,Error_Oxygen
217.821666666667,218.874,-1.0523333333329958
220.565833333333,218.691,1.8748333333329867
220.555833333333,218.238,2.317833333332999
216.309583333333,217.249,-0.9394166666670003
213.559166666667,217.03,-3.4708333333329904
213.219583333333,216.968,-3.748416666666998
214.48125,217.307,-2.8257499999999993
215.688333333333,216.469,-0.7806666666670026
210.92,215.853,-4.933000000000021
205.712916666667,216.289,-10.576083333332974
218.48625,215.977,2.5092500000000086
217.25125,215.375,1.8762499999999989
217.98625,214.946,3.0402500000000146
213.910416666667,215.012,-1.1015833333329965
204.985833333333,214.764,-9.778166666667005
208.641666666667,214.989,-6.347333333333012
206.924583333333,215.351,-8.426416666666995
203.820833333333,215.822,-12.00116666666699
205.36625,215.943,-10.576750000000004
212.997916666667,215.804,-2.8060833333329924
212.555,215.886,-3.330999999999989
207.860416666667,215.781,-7.920583333333013
211.71347826087,215.534,-3.820521739129987
209.804166666667,215.344,-5.539833333333007
207.203333333333,215.094,-7.890666666666988
210.629166666667,214.729,-4.0998333333330095
211.167916666667,214.729,-3.5610833333330163
206.329583333333,215.022,-8.692416666666986
207.137083333333,215.124,-7.9869166666669855
208.537916666667,214.976,-6.438083333332997
209.72375,214.351,-4.627250000000004
203.320833333333,214.34,-11.01916666666699
205.164583333333,214.53,-9.365416666666988
204.98375,214.497,-9.513250000000028
204.100833333333,214.427,-10.326166666667007
203.53,214.269,-10.739000000000004
206.615833333333,214.164,-7.548166666666987
203.44,213.988,-10.548000000000002
201.987083333333,213.427,-11.439916666666988
201.856666666667,212.906,-11.04933333333301
193.836,214.127,-20.290999999999997
189.958333333333,214.234,-24.275666666667007
193.389166666667,214.202,-20.812833333333003
192.216666666667,214.354,-22.137333333333004
189.97,214.738,-24.768
190.230416666667,214.501,-24.270583333333008
193.858333333333,214.235,-20.376666666667006
194.05875,214.356,-20.29724999999999
194.05,214.296,-20.24599999999998
186.255,214.35,-28.095
192.0275,214.38,-22.352499999999992
190.412916666667,214.478,-24.065083333333007
188.77625,214.493,-25.71674999999999
189.629166666667,214.335,-24.705833333333004
195.32375,214.469,-19.145250000000004
188.599583333333,214.387,-25.787416666667013
192.41,214.397,-21.986999999999995
192.980833333333,214.529,-21.548166666666987
187.019583333333,214.643,-27.623416666666998
187.183333333333,214.645,-27.461666666667014
189.282083333333,214.598,-25.31591666666702
194.325,215.438,-21.113
201.67875,216.697,-15.018249999999995
205.88625,217.373,-11.48675
203.965833333333,217.609,-13.643166666667014
203.317083333333,217.473,-14.155916666667025
198.605,217.407,-18.80200000000002
195.9525,217.099,-21.146500000000003
194.3775,217.219,-22.841499999999996
195.03125,218.07,-23.038749999999993
204.505,219.123,-14.617999999999995
206.96,219.938,-12.97799999999998
208.539166666667,220.113,-11.573833333332999
200.686666666667,219.766,-19.079333333332983
196.02125,219.456,-23.43474999999998
195.591666666667,219.078,-23.486333333332993
201.234583333333,218.825,-17.590416666666982
200.565833333333,219.373,-18.807166666667
197.290833333333,219.932,-22.641166666666976
209.3675,220.178,-10.81049999999999
210.400833333333,220.349,-9.948166666666992
208.13375,221.042,-12.90825000000001
211.508333333333,221.203,-9.69466666666699
211.135416666667,221.15,-10.014583333333007
205.564583333333,220.816,-15.251416666667012
206.407916666667,220.761,-14.35308333333299
204.900416666667,220.93,-16.029583333332994
200.99875,221.068,-20.06925000000001
209.052083333333,221.105,-12.052916666666988
205.854166666667,220.977,-15.122833333333006
209.27375,221.006,-11.732249999999993
209.785,221.39,-11.60499999999999
212.695,221.969,-9.274000000000001
212.683333333333,222.503,-9.81966666666699
214.01625,222.807,-8.790749999999974
212.154166666667,222.184,-10.029833333332988
211.301666666667,222.152,-10.850333333332998
210.1775,222.21,-12.032499999999999
206.110833333333,222.323,-16.212166666667002
208.700833333333,222.333,-13.63216666666699
209.39625,222.361,-12.964749999999981
205.759583333333,222.637,-16.87741666666699
204.61875,222.736,-18.117249999999984
210.582916666667,222.416,-11.833083333333008
213.2825,222.53,-9.247500000000002
209.732916666667,222.414,-12.681083333332992
213.9125,222.273,-8.360500000000002
210.250416666667,222.343,-12.092583333332982
208.655416666667,222.658,-14.002583333332979
206.320833333333,222.903,-16.58216666666698
208.48,222.992,-14.512
205.9625,223.0,-17.037499999999994
208.702083333333,222.996,-14.293916666667002
210.923333333333,223.169,-12.245666666667006
210.159583333333,223.42,-13.260416666666998
210.480833333333,223.48,-12.99916666666698
214.35652173913,223.298,-8.941478260870014
213.499583333333,223.62,-10.120416666667012
214.301666666667,224.225,-9.923333333333005
219.357916666667,224.549,-5.191083333333012
218.357916666667,224.649,-6.291083333333006
218.369583333333,224.491,-6.121416666667017
217.90875,224.606,-6.697249999999997
217.638333333333,224.839,-7.20066666666699
215.182083333333,225.06,-9.877916666667005
209.9525,225.393,-15.440500000000014
216.86375,225.799,-8.935249999999996
216.140833333333,225.687,-9.546166666667006
215.21375,225.509,-10.295249999999982
215.179166666667,226.01,-10.830833333333004
218.42375,226.357,-7.933249999999987
219.598333333333,226.975,-7.376666666667006
221.2425,227.496,-6.2535000000000025
222.274583333333,228.152,-5.8774166666669885
223.491666666667,228.58,-5.088333333333026
226.21625,229.043,-2.826750000000004
230.065,229.761,0.30400000000000205
231.808333333333,230.249,1.5593333333330008
230.180833333333,230.201,-0.02016666666699507
228.789166666667,230.354,-1.5648333333330129
228.885416666667,230.777,-1.8915833333329886
229.081666666667,230.741,-1.6593333333330236
225.12375,230.798,-5.674250000000001
222.87125,230.907,-8.035750000000007
222.420833333333,230.991,-8.570166666667006
222.044583333333,230.525,-8.480416666666997
224.399166666667,230.431,-6.031833333332997
222.957916666667,230.565,-7.607083333333009
224.424166666667,230.977,-6.552833333333012
223.683333333333,230.67,-6.986666666666991
226.032083333333,230.466,-4.433916666667017
222.487916666667,230.597,-8.109083333333018
224.370416666667,231.071,-6.700583333332986
229.7825,231.852,-2.069500000000005
236.131666666667,231.922,4.209666666667005
231.052083333333,232.543,-1.4909166666670046
234.053333333333,232.719,1.3343333333330065
234.707083333333,233.339,1.3680833333330042
233.997083333333,233.632,0.3650833333329899
231.417083333333,233.991,-2.573916666667003
233.724166666667,234.604,-0.8798333333330106
234.837916666667,234.895,-0.0570833333329972
235.847083333333,234.947,0.9000833333329865
234.514166666667,235.519,-1.0048333333330106
234.7425,235.737,-0.994499999999988
231.76625,235.358,-3.5917499999999905
230.47875,236.153,-5.674250000000001
230.977916666667,235.567,-4.589083333333008
231.965416666667,235.244,-3.278583333332989
238.790833333333,235.839,2.9518333333330133
238.135416666667,236.157,1.9784166666669876
238.679166666667,236.062,2.617166666666975
240.181666666667,236.328,3.85366666666701
240.230869565217,235.964,4.266869565217007
240.05625,235.772,4.284250000000014
238.89375,235.588,3.3057500000000175
238.397083333333,235.699,2.6980833333329883
238.740416666667,235.858,2.882416666666984
242.665416666667,235.895,6.770416666666989
241.099166666667,235.776,5.323166666666992
242.279166666667,235.834,6.445166666667006
238.314166666667,236.58,1.7341666666669937
245.080416666667,236.729,8.351416666666978
242.882916666667,236.865,6.017916666666991
243.46,236.773,6.687000000000012
238.350833333333,236.578,1.7728333333329829
236.700833333333,236.306,0.39483333333299697
236.05375,236.41,-0.35624999999998863
234.9825,236.519,-1.536500000000018
240.630833333333,236.971,3.6598333333329833
244.923333333333,236.867,8.056333333333015
246.877916666667,236.75,10.127916666667005
244.543333333333,236.707,7.836333333333016
245.359583333333,236.639,8.720583333332996
242.099166666667,236.692,5.4071666666669955
234.624166666667,236.471,-1.8468333333329952
234.705833333333,236.655,-1.9491666666669971
240.500416666667,237.062,3.4384166666669955
241.547916666667,237.135,4.412916666667002
245.727083333333,237.081,8.646083333333024
243.694583333333,237.005,6.68958333333299
243.437916666667,236.885,6.552916666667016
240.183333333333,236.891,3.292333333333005
238.644583333333,236.613,2.0315833333330033
233.299583333333,236.981,-3.6814166666669905
228.095,236.756,-8.661000000000001
223.445416666667,236.245,-12.799583333333004
222.590416666667,235.895,-13.304583333333
230.932083333333,235.498,-4.565916666666993
240.83,235.628,5.202000000000027
241.804166666667,235.653,6.151166666666995
240.814583333333,235.604,5.210583333332977
243.009583333333,235.534,7.47558333333302
244.66,235.487,9.173000000000002
246.14875,235.563,10.585750000000019
244.374166666667,235.614,8.760166666667004
242.992916666667,235.711,7.281916666667001
245.43875,235.804,9.634749999999997
240.585833333333,236.156,4.429833333332994
236.81375,235.84,0.9737499999999955
237.894583333333,235.601,2.293583333333004
242.044583333333,235.464,6.58058333333301
244.322083333333,235.415,8.90708333333302
245.31625,235.527,9.78925000000001
247.235833333333,235.412,11.823833333332999
240.237083333333,235.43,4.807083333332997
240.874166666667,235.493,5.3811666666670135
245.68875,235.261,10.427750000000003
249.122916666667,235.019,14.103916666667004
256.92,234.698,22.22200000000001
249.75625,234.781,14.975249999999988
250.145,234.779,15.366000000000014
249.957083333333,234.482,15.475083333333004
242.464166666667,234.303,8.161166666667015
242.860833333333,234.247,8.613833333332991
246.4475,235.008,11.439499999999981
241.03625,235.941,5.095249999999993
238.718333333333,236.63,2.088333333332997
239.745416666667,237.054,2.69141666666701
242.24875,236.394,5.854749999999996
244.05375,235.839,8.21475000000001
248.488333333333,235.884,12.604333333333017
244.356666666667,235.62,8.736666666666991
238.4475,235.407,3.04049999999998
240.205,235.014,5.1910000000000025
244.311666666667,235.053,9.258666666667011
244.884583333333,235.131,9.753583333333012
245.345,234.667,10.677999999999997
245.437916666667,234.257,11.180916666667002
246.0075,234.019,11.988499999999988
247.269166666667,233.533,13.736166666667003
245.187916666667,233.374,11.813916666667012
248.327083333333,232.677,15.650083333333015
241.360833333333,233.077,8.283833333333007
247.97875,232.555,15.423749999999984
248.380416666667,233.702,14.678416666667005
245.013333333333,234.179,10.834333333333007
249.634347826087,234.126,15.508347826087004
244.830833333333,234.0,10.830833333333004
242.291666666667,233.994,8.297666666666998
243.088333333333,233.866,9.222333333332983
248.228333333333,233.665,14.56333333333302
243.795416666667,232.666,11.129416666666998
239.661666666667,233.287,6.374666666666997
241.852916666667,233.919,7.933916666666988
243.555,234.431,9.123999999999995
244.679166666667,234.726,9.953166666666988
248.570833333333,234.569,14.001833333333025
258.510833333333,234.316,24.19483333333298
248.0225,234.122,13.900499999999994
241.384583333333,233.812,7.572583333333
243.836666666667,233.2,10.636666666667026
243.275833333333,233.069,10.206833333333009
241.130416666667,233.176,7.954416666667015
244.412083333333,232.581,11.831083333332998
243.942083333333,231.821,12.12108333333299
239.01375,230.494,8.519749999999988
239.01625,229.651,9.365250000000003
235.982916666667,230.938,5.044916666667007
238.251666666667,230.006,8.245666666667006
236.41375,229.949,6.464749999999981
238.295416666667,230.908,7.387416666667008
245.681666666667,231.167,14.514666666667011
240.606666666667,229.991,10.615666666666982
243.895833333333,228.93,14.965833333332995
238.707083333333,227.991,10.716083333332989
235.359166666667,228.664,6.695166666667006
241.40875,229.239,12.169749999999993
241.847083333333,227.586,14.261083333332977
229.02625,227.633,1.3932499999999948
231.175833333333,227.969,3.206833333333009
236.930833333333,227.875,9.055833333332998
244.91125,226.952,17.959249999999997
232.839583333333,227.524,5.315583333332995
236.8125,227.194,9.618500000000012
235.16,228.171,6.989000000000004
239.668260869565,227.93,11.738260869564982
238.285416666667,227.556,10.729416666666992
240.4225,227.374,13.048500000000018
240.494583333333,226.953,13.541583333332994
237.072916666667,227.079,9.99391666666699
239.814166666667,227.111,12.703166666667016
232.275833333333,227.214,5.061833333332999
233.012083333333,226.93,6.082083333333003
233.137916666667,227.24,5.897916666666987
236.719583333333,226.612,10.107583333332997
237.179583333333,226.612,10.567583333333005
235.49,224.87,10.620000000000005
231.29125,223.512,7.7792499999999905
236.675833333333,224.54,12.13583333333301
233.4175,225.009,8.408500000000004
233.424583333333,224.735,8.68958333333299
238.234166666667,224.242,13.992166666667003
236.61875,224.303,12.315750000000008
228.59125,223.614,4.977249999999998
222.168333333333,223.565,-1.396666666666988
228.34875,222.294,6.054749999999984
227.207083333333,221.997,5.210083333332989
231.670833333333,221.546,10.124833333333015
224.26375,221.196,3.0677499999999895
229.744166666667,220.808,8.93616666666702
225.637083333333,220.93,4.707083333333003
224.745,219.798,4.947000000000003
219.992083333333,218.619,1.3730833333329997
208.881666666667,219.146,-10.264333333332985
220.61125,219.629,0.9822500000000218
223.63375,218.257,5.376749999999987
214.167826086956,217.458,-3.2901739130439864
210.282916666667,217.394,-7.111083333332999
210.487916666667,217.389,-6.90108333333302
206.167083333333,218.062,-11.894916666667001
211.74875,217.686,-5.937250000000006
213.959166666667,217.852,-3.892833333333016
216.299583333333,219.009,-2.709416666666982
218.715833333333,219.356,-0.6401666666669996
218.509583333333,219.217,-0.707416666667001
215.405833333333,218.223,-2.8171666666670205
212.435416666667,216.594,-4.1585833333329845
211.522083333333,216.833,-5.310916666666998
210.845833333333,217.418,-6.572166666667016
210.767916666667,217.1,-6.332083333333003
208.75,217.006,-8.256
211.945833333333,215.761,-3.8151666666669826
209.663333333333,214.889,-5.225666666667024
208.07875,215.697,-7.618249999999989
214.150416666667,215.208,-1.0575833333329854
211.529583333333,214.88,-3.3504166666670017
204.87,215.45,-10.579999999999984
208.021666666667,215.578,-7.556333333333015
207.201666666667,215.693,-8.491333333333017
205.9725,215.453,-9.480500000000006
208.822916666667,215.011,-6.188083333332997
207.924166666667,214.674,-6.749833333333015
199.020833333333,215.104,-16.08316666666701
200.031666666667,215.442,-15.410333333333
198.289166666667,215.598,-17.308833333333013
206.09,215.237,-9.146999999999991
210.822083333333,214.714,-3.8919166666669867
211.073333333333,214.056,-2.9826666666670008
207.667083333333,214.521,-6.853916666666976
208.7525,214.166,-5.413499999999999
200.762083333333,214.275,-13.512916666666996
200.472916666667,214.505,-14.032083333332992
205.3025,213.805,-8.502499999999998
202.503333333333,213.728,-11.22466666666702
198.490833333333,214.303,-15.812166666666997
201.94625,214.394,-12.447750000000013
199.849166666667,214.275,-14.425833333333003
199.659583333333,214.232,-14.57241666666701
202.51125,213.627,-11.11575000000002
199.7825,213.14,-13.357499999999987
195.92875,212.968,-17.03924999999998
194.526666666667,213.354,-18.827333333333
192.669166666667,213.698,-21.02883333333301
195.2325,213.726,-18.49350000000001
198.0575,213.484,-15.426500000000004
195.729166666667,213.626,-17.896833333333007
198.995,213.425,-14.430000000000007
198.8125,213.958,-15.145499999999998
202.517083333333,214.487,-11.96991666666699
199.952916666667,214.262,-14.309083333333007
196.053333333333,213.951,-17.897666666666993
197.130833333333,213.872,-16.741166666667027
195.610833333333,213.758,-18.147166666667005
198.0575,213.455,-15.397500000000008
197.447083333333,213.262,-15.814916666666988
196.57,213.185,-16.61500000000001
196.919583333333,213.842,-16.922416666667004
