Losses During Training:

Epoch,Train MSE,Train MAE,Train RMSE,Val MSE,Val MAE,Val RMSE
1,0.3784,0.5272,0.6104,0.2443,0.4224,0.4727
2,0.2940,0.4546,0.5359,0.1799,0.3422,0.4012
3,0.2388,0.4007,0.4832,0.1313,0.2926,0.3506
4,0.1940,0.3595,0.4342,0.0975,0.2626,0.3083
5,0.1643,0.3319,0.3992,0.0783,0.2471,0.2791
6,0.1475,0.3096,0.3786,0.0700,0.2393,0.2642
7,0.1291,0.2934,0.3532,0.0671,0.2348,0.2578
8,0.1297,0.2888,0.3544,0.0657,0.2317,0.2541
9,0.1302,0.2955,0.3562,0.0656,0.2314,0.2538
